,index_survival,msno,n_prev_churns,log_days_between_subs,log_days_since_reg_init,payment_method_id,log_payment_plan_days,log_plan_list_price,log_actual_amount_paid,is_auto_renew,is_cancel,city,gender,registered_via,age_at_start,strange_age,nan_days_since_reg_init,no_prev_churns,duration,event,censor_duration
0,72254,/b91R056RseIffmIDGST5MoCOsYtFKmX/It1VXUqNxE=,0,0.0,6.60934924316738,35,2.0794415416798357,0.0,0.0,0,0,1.0,1.0,3.0,0,1,0,1,7,1,82
1,253677,3eDrO9qXfXURq7AESNYPgGPicjmShXgbrHMhvfMdRZk=,0,0.0,7.826443135456014,34,0.0,0.0,5.0106352940962555,1,0,4.0,1.0,9.0,63,0,0,1,30,1,670
2,1011532,Kd+04Jg/KKvS645J6aA1gdOncyGXdSZ0Aj/oomEx8NA=,0,0.0,6.651571873589728,35,2.0794415416798357,0.0,0.0,0,0,1.0,1.0,3.0,0,1,0,1,62,0,62
3,128166,0qRWBy0cGs7BNjkFJvw6VYt3OqS/LsciKszQ4aZlb6k=,0,0.0,5.575949103146316,38,3.4339872044851463,5.0106352940962555,5.0106352940962555,0,0,12.0,1.0,3.0,19,0,0,1,30,1,320
4,1388354,T2VITkXdyVqDzcm2RXsczQvlkk+Nccwie+XzI+0iLRU=,0,0.0,7.590852123688581,35,2.0794415416798357,0.0,0.0,0,0,22.0,0.0,7.0,24,0,0,1,7,1,66
5,406501,72fOy8vNPauoQpQEOVadhFvPJDN0zG0wXi9jxBW/Qi0=,1,4.770684624465665,5.356586274672011,36,3.4339872044851463,5.017279836814924,5.017279836814924,0,0,22.0,1.0,3.0,25,0,0,0,30,1,446
6,2620396,uZWe4yOYQZm3jJyk/ydlzfPaoMXuF40b3vaOMBCuN3U=,0,0.0,5.327876168789581,39,3.4339872044851463,5.0106352940962555,5.0106352940962555,1,0,11.0,0.0,3.0,21,0,0,1,273,1,581
7,1808337,cRQNWeiY+8W+6LP0G7ts1KVmX1ceAYDv0AsreghGZh0=,1,0.0,5.267858159063328,38,3.4339872044851463,5.0106352940962555,5.0106352940962555,0,0,14.0,0.0,3.0,18,0,0,0,181,1,557
8,2501183,rw20OxXYlz8L8yVPfarFXTc8Rd62wDpUXYWQ1blcLKU=,0,0.0,7.148345743900068,40,3.4339872044851463,5.0106352940962555,5.0106352940962555,1,0,1.0,0.0,9.0,23,0,0,1,29,1,277
9,696704,DZ3gzIxKw8BnBM6FIxzFlf1x0baO2whPDJzWPqYivn4=,0,0.0,6.648984550024776,40,3.4657359027997265,5.0106352940962555,5.0106352940962555,1,0,14.0,0.0,3.0,32,0,0,1,754,0,754
10,1788145,c+Znx6sAGXOJk9fyC8Jp0Iq4TmK4AxqmO72y1N5MynQ=,1,3.9318256327243257,5.513428746164983,32,5.278114659230517,6.796823718274855,6.796823718274855,0,0,8.0,1.0,9.0,28,0,0,0,198,1,289
11,1169915,OAkeMNzUkGZkWeNJrqNgedcVuoEJ5TU4oSHtvmbu/cA=,3,0.0,7.1654934750608446,39,3.4339872044851463,5.0106352940962555,5.0106352940962555,1,0,13.0,0.0,9.0,22,0,0,0,182,0,182
12,2049760,hpO61IQIq+tGUfsGiwW3NKz63ytvvxp68M9G/2xBd3o=,1,5.204006687076795,6.4846352356352535,29,3.4339872044851463,5.198497031265826,5.198497031265826,0,0,15.0,1.0,3.0,23,0,0,0,30,1,163
13,2414630,pzfFlkchA35aIC6TERyjlHcfmBYPglCMVT4YMedA8VY=,0,0.0,6.988413181999593,38,3.4339872044851463,5.0106352940962555,5.0106352940962555,0,0,10.0,1.0,9.0,25,0,0,1,153,1,687
14,2117860,jLDMgCDi+psBeyjzaMLmKceAUh9ebrtoRHlHXmzc0w4=,0,0.0,1.3862943611198906,40,0.0,0.0,0.0,1,0,13.0,1.0,9.0,27,0,0,1,244,1,636
15,2508373,s4K9RIc2BNmeWFjHT/TxjVAxLCFYmQxEm/6sEBxwibQ=,0,0.0,7.826443135456014,40,3.4657359027997265,5.0106352940962555,5.0106352940962555,1,0,18.0,0.0,9.0,33,0,0,1,752,0,752
